order_date,sku_id,order_quantity
2020-03-04,1266CA,2
2019-04-28,3495CA,10
2019-05-11,3098AA,3
2019-02-01,1499CA,3
2019-08-11,1382CA,8
2019-04-06,3462AA,60
2020-06-03,2041CA,2
2020-05-22,1511CA,20
2020-05-26,1116CA,16668
2020-04-13,3177CA,45
2020-04-03,2013AA,130
2019-08-22,2785BA,606
2019-05-25,3619CA,36
2020-05-01,2606AA,4
2019-12-02,3448CA,8
2020-02-17,3125AA,5
2020-01-25,2930CA,1
2019-05-27,1193BA,16
2019-02-26,3250CA,200
2019-03-23,3461CA,3
2020-03-13,3495CA,5
2019-03-26,3125AA,20
2020-03-17,3448CA,80
2019-04-20,3160BA,1
2020-04-20,2342CA,55186
2020-04-13,3143CA,5
2019-06-24,1445BA,1
2020-05-21,3512AA,500
2019-11-12,3413AA,5
2020-01-23,1956CA,2
2019-03-24,1967BA,172
2020-04-27,2336BA,900
2019-11-29,2923CA,5
2019-10-12,2501CA,540
2020-03-09,1130AA,260
2019-06-12,2956AA,6
2020-03-25,2930CA,7
2019-06-23,2876CA,4
2019-05-02,2315BA,3175
2019-03-28,3551CA,578
2020-05-04,2513CA,2
2020-03-20,1967BA,70
2019-10-29,2930CA,6
2019-05-30,2867AA,1
2019-08-22,2923CA,1
2019-07-21,1083AA,5175
2019-03-29,3053AA,24
2020-05-15,3551CA,1000
2019-08-31,2396CA,930
2019-03-01,2054CA,5
2019-04-04,1145BA,61
2019-03-07,2564BA,62
2020-03-24,3084CA,1
2019-06-03,3495CA,4
2019-06-19,1970CA,100
2019-12-27,3404CA,15
2020-01-21,2956AA,28
2019-06-11,3120BA,5
2019-09-10,3160BA,25
2019-07-18,2359CA,5
2019-02-05,1009AA,1220
2020-03-27,2044CA,1
2019-10-26,2498CA,1
2020-02-13,3551CA,200
2019-04-22,1116CA,2000
2020-06-05,2189CA,6
2019-07-16,2483BA,16316
2019-02-11,3053AA,7
2019-11-30,1601AA,5
2019-03-10,3250CA,12
2020-05-23,2953CA,1
2019-03-23,2763CA,869
2019-07-05,1499AA,90
2020-03-20,2621AA,25
2019-04-28,3462AA,120
2019-08-07,1990AA,22.5
2019-05-09,1511CA,10
2019-12-26,1385CA,18
2020-01-27,1990AA,27.5
2020-01-06,2013AA,170
2019-03-01,3462AA,100
2020-04-08,3494AA,60
2020-04-10,3420AA,2
2019-03-07,1993AA,132.5
2020-05-14,3616CA,21
2019-08-03,3502BA,1
2019-04-17,3502BA,1
2019-03-10,3556AA,4
2019-08-24,3551CA,100
2020-04-03,1497CA,57
2020-01-25,1130AA,315
2019-04-19,3404CA,9
2019-03-28,1464AA,3
2020-06-07,2662CA,21
2020-04-14,1908AA,1
2019-11-11,2925CA,5
2019-07-10,1317CA,1
2019-08-22,2212AA,3
2019-03-31,3084CA,2
2019-08-09,1907AA,1
2019-06-30,3495CA,10
2020-01-05,3193AA,1
2019-08-12,1499AA,204
2020-01-08,2953CA,1
2020-01-31,3502BA,12
2019-04-02,3365CA,50
2019-12-16,2513CA,1
2019-06-10,2227AA,2
2020-03-29,1486CA,1
2019-07-13,2277AA,759
2019-12-27,2115CA,5
2019-03-10,1479CA,3
2019-06-10,1993AA,520
2019-09-18,2348BA,1
2020-03-10,1953AA,1
2019-06-16,1921AA,1
2019-06-08,1193BA,144
2019-05-08,2227AA,2
2019-07-11,2212CA,6
2019-11-08,1945AA,1
2019-07-30,1970CA,10
2019-03-02,2054AA,5
2020-03-14,3365CA,6
2020-02-03,2956AA,9
2020-05-23,2173CA,4
2019-10-14,1077CA,1809
2019-06-05,2236CA,1
2019-11-18,3461CA,1
2020-02-24,3512AA,1
2019-12-03,1009AA,110
2020-02-24,1906CA,1
2019-07-09,2021CA,3
2019-06-05,1990AA,35
2020-04-02,2212AA,1
2020-03-27,2229AA,3
2020-02-26,3407CA,4
2020-01-31,1624AA,4
2019-11-28,3462AA,100
2020-06-08,1083AA,46
2019-09-05,1992AA,640
2020-06-03,3494AA,350
2019-07-10,1479CA,12
2019-03-27,1970CA,195
2020-02-24,3193AA,19
2019-10-10,3576BA,3
2019-03-06,3461CA,25
2020-04-04,2763CA,225
2020-06-13,2555CA,8
2019-06-28,1630BA,2
2020-06-07,2021CA,3
2019-09-09,1214CA,27
2019-08-14,1497CA,20
2019-05-23,1906CA,2
2020-03-06,2337CA,350
2019-02-28,3025CA,1
2020-04-19,1624AA,5
2019-09-28,1745BA,3
2019-08-04,1708AA,3
2019-06-21,1499CA,2
2020-01-14,2021CA,3
2019-09-13,2337CA,94
2019-03-16,3053AA,6
2019-10-11,1126CA,1500
2019-07-01,1382CA,10
2020-05-28,2766AA,38
2019-07-13,2315BA,250
2019-12-15,2337CA,175
2019-03-17,2767AA,147
2019-04-01,1379CA,7
2019-09-23,2632AA,335
2020-03-29,2925CA,52
2020-04-15,3512AA,3300
2019-09-22,3250CA,200
2020-05-30,1255CA,1
2019-02-07,1497CA,80
2019-08-03,2212AA,6
2019-07-11,2923CA,8
2019-09-04,2044CA,6
2020-04-02,1967BA,8
2020-02-02,1163CA,80
2020-01-26,2317CA,90
2020-04-25,3399AA,1
2019-10-28,3576BA,3
2019-02-08,2173CA,2
2019-06-24,1193BA,8
2019-07-30,2053BA,1
2019-03-30,2227AA,2
2020-01-07,3533CA,500
2019-11-07,1193BA,110
2020-02-23,1163CA,44
2019-08-02,2970CA,1
2019-02-24,3399AA,3
2019-04-27,1130AA,29
2020-01-12,1907AA,1
2019-05-05,2265BA,1
2019-07-17,1695CA,1
2019-04-26,3138CA,2
2019-11-07,2767AA,525
2019-11-26,2170BA,5
2019-03-28,3132BA,3
2019-05-23,1956AA,1
2019-08-17,2646AA,17
2019-06-01,2766AA,225
2019-05-18,1586CA,30
2019-06-20,2016CA,55
2020-01-05,2291AA,226
2019-05-13,1497CA,32
2019-05-14,3271CA,2
2019-06-14,3619CA,1400
2019-07-25,3138CA,4
2019-11-28,2564BA,21
2019-08-12,2317CA,260
2020-01-16,3619CA,1412
2019-08-14,1499CA,2
2019-06-30,2025AA,8
2019-04-14,1967BA,565
2020-03-05,3345AA,4
2019-09-23,2508BA,1
2020-06-12,2930CA,2
2020-03-11,2212CA,2
2019-11-23,1964BA,17.5
2020-01-17,1479CA,4
2019-09-07,2189CA,3
2019-10-27,2501CA,13
2020-03-17,2564BA,252
2019-11-19,1479CA,1
2020-03-18,1130AA,420
2019-06-25,1385CA,8
2019-10-11,3404CA,3
2019-06-08,3462AA,400
2019-08-27,1161AA,20
2019-10-01,1193BA,2
2020-01-26,3193AA,10
2019-05-03,1234BA,187
2019-11-29,1224AA,12
2019-04-15,3461CA,1
2019-11-15,3407CA,4
2019-05-06,2727CA,126
2019-05-03,3193AA,1
2020-01-25,1630BA,2
2019-08-05,2766AA,25
2019-05-25,1497CA,6
2020-05-11,1366BA,1
2020-04-17,2956AA,23
2019-02-17,2729AA,230
2019-02-27,3576BA,2
2019-11-18,1990AA,32.5
2019-07-25,1206BA,56
2020-01-29,1497CA,350
2019-03-11,1650AA,182
2020-06-12,2265BA,1
2019-04-03,2336BA,885
2020-03-17,3053AA,20
2019-06-17,2956AA,14
2020-03-27,1479CA,20
2020-02-06,1979AA,40
2019-06-05,2227AA,4
2020-03-30,3551CA,200
2020-04-07,2173CA,3
2020-06-04,1193BA,215
2019-08-09,3053AA,15
2019-11-25,2621AA,319
2020-04-18,2956AA,4
2019-12-07,2331CA,35
2019-09-10,2342CA,150
2019-12-04,2953CA,2
2019-11-13,3025CA,1
2019-02-28,1499AA,250
2019-12-17,2867AA,10
2019-09-28,1681CA,13
2019-09-21,3462AA,20
2020-05-08,2227AA,2
2020-03-12,3084CA,3
2019-07-24,3619CA,1020
2019-10-21,2236CA,1
2020-02-20,2200CA,20
2019-05-05,2315BA,200
2020-01-30,1601AA,7
2019-10-31,3177CA,67.5
2019-12-12,1385CA,7
2019-11-05,1624AA,1
2019-07-23,1193BA,67
2020-05-05,2212CA,1
2019-03-16,2200CA,1
2019-04-20,1584BA,1
2019-08-23,2498CA,1
2019-09-09,1990AA,25
2020-05-03,3556AA,6
2019-03-08,1130AA,300
2019-07-12,1379CA,35
2019-02-01,3399AA,1
2020-01-28,3160BA,3
2019-04-08,2953BA,40
2019-07-24,2847BA,110
2019-09-30,1708AA,9
2019-05-30,2621AA,354
2019-08-13,1994AA,20
2019-11-27,2013AA,70
2020-05-15,1366BA,1
2019-03-26,2396CA,400
2020-04-16,2785BA,475
2019-05-15,3462AA,50
2019-11-12,2513CA,1
2020-04-21,1953AA,1
2020-05-01,3053AA,18
2019-05-23,3512AA,1221
2019-03-06,2621AA,168
2020-04-14,3413AA,10
2020-04-03,1990AA,1.5
2020-05-10,2025AA,2
2019-11-29,3399AA,2
2020-06-13,2970CA,10
2020-01-14,1630BA,3
2019-07-04,3512AA,3150
2019-03-21,1479CA,10
2019-08-06,1511CA,10
2019-12-13,1956CA,1
2019-08-19,1479CA,4
2019-10-29,2956AA,32
2020-03-03,2923CA,1
2020-05-21,3616CA,2
2019-09-19,1464AA,1
2019-08-12,3448CA,20
2020-02-08,2396CA,1376
2019-02-07,3413AA,2
2019-05-07,3358BA,4
2019-07-14,1945AA,1
2019-11-29,2041CA,5
2019-10-26,3079BA,24
2019-07-14,3448CA,100
2020-02-26,1193BA,4
2020-01-12,2189CA,3
2019-08-25,1382CA,9
2020-01-28,2953BA,60
2019-10-28,2291AA,380
2020-01-09,1330CA,1
2020-01-23,1317CA,1
2019-12-04,3512AA,200
2019-05-12,2729AA,19
2020-04-18,2621AA,16
2019-07-14,3160BA,4
2020-02-10,2267CA,123
2020-03-02,2212AA,5
2019-12-31,3556AA,10
2019-04-17,3120BA,5
2020-04-27,1624AA,3
2020-05-06,2867AA,5
2019-05-21,2803BA,250
2019-12-25,2054CA,3
2019-02-13,3079BA,330
2019-05-03,1161AA,86
2019-09-16,1077CA,100
2020-05-04,2923CA,4
2019-10-14,3053AA,11
2019-07-01,1009AA,58
2020-02-11,3512AA,1000
2019-10-07,2867AA,62
2019-05-12,2115CA,3
2020-04-05,2212CA,3
2020-04-15,1379CA,2
2019-05-27,2935BA,2
2020-04-14,2317CA,145
2020-01-04,1479CA,3
2019-02-09,2223AA,1
2020-05-26,1967BA,5
2019-07-16,2200CA,4
2019-04-07,2331CA,77
2020-03-03,3512AA,1000
2019-04-04,2930CA,1
2019-07-10,1695CA,1
2019-12-03,2515BA,230
2019-06-06,1009AA,280
2019-08-18,2938CA,1
2019-11-26,2139BA,1
2019-12-04,3413AA,10
2020-03-03,3193AA,1
2019-06-15,2227AA,1
2019-08-19,1479CA,4
2020-01-24,2867AA,3
2019-08-28,3404CA,5
2019-08-06,3399AA,3
2019-10-13,1993AA,125
2019-06-04,2315BA,300
2019-05-27,2714CA,183
2019-08-16,2501CA,315
2019-02-04,2680BA,17
2019-02-02,2970CA,1
2020-03-09,1163CA,53
2019-06-22,2212AA,11
2019-10-11,2555CA,18
2019-09-27,1445BA,2
2019-02-26,2396CA,924
2019-04-28,1953AA,1
2020-01-21,3053AA,7
2020-06-08,2515BA,50
2019-06-09,1464AA,1
2019-11-26,2013AA,142.5
2019-07-18,1967BA,1225
2019-07-28,2326CA,40
2019-02-27,3512AA,683
2019-12-12,1385CA,7
2020-03-15,1906CA,1
2019-04-06,2342CA,500
2019-06-30,2564BA,4
2019-04-04,1077CA,6306
2020-05-01,3193AA,3
2019-08-15,1479CA,5
2020-06-08,2025AA,26
2020-05-21,3399AA,3
2020-03-17,1695CA,1
2019-12-13,3404CA,3
2019-06-22,2227AA,2
2019-12-15,2994CA,1
2019-11-03,2956AA,6
2019-05-22,1907AA,1
2019-02-05,1163CA,37
2019-07-31,3161BA,150
2019-11-13,1009AA,200
2019-04-08,2988AA,1
2019-05-21,1601AA,4
2020-02-17,2953CA,2
2019-05-14,3345AA,5
2019-10-12,1161AA,200
2020-01-22,3512AA,3000
2019-06-06,3345AA,10
2019-07-25,1486CA,4
2019-06-26,1497CA,26
2019-03-09,1995AA,75
2019-02-18,1145BA,100
2019-11-18,3079BA,55
2019-07-28,2326CA,72
2019-08-16,2317CA,900
2019-03-26,2935BA,10
2020-03-28,2956AA,4
2020-05-12,2867AA,13
2020-01-25,1970CA,152.5
2019-08-23,2229AA,2
2019-10-23,3461CA,5
2019-12-08,3495CA,15
2020-06-11,3084CA,1
2019-09-15,3590BA,6
2019-09-24,3079BA,12
2019-10-11,2326CA,445
2019-09-30,3413AA,23
2020-02-22,1993AA,180
2019-05-31,3345AA,8
2019-12-03,2170BA,4
2019-03-23,2938CA,3
2019-09-26,1624CA,5
2019-09-18,3404CA,10
2019-03-27,3365CA,50
2019-12-07,2326CA,255
2019-06-15,3079BA,33
2019-10-08,2930CA,7
2019-06-08,1511CA,24
2019-06-18,1214CA,55
2019-03-23,2923CA,1
2020-04-01,2234AA,4
2020-01-19,1445BA,1
2019-07-10,2189CA,5
2020-02-06,3084CA,1
2019-03-30,3407CA,1
2019-08-09,2025AA,5
2019-09-30,2606AA,4
2019-03-25,1971AA,25
2019-04-30,1695CA,1
2020-04-01,2060AA,15
2020-06-01,2763CA,2268
2019-02-17,1956AA,1
2019-06-01,2840AA,1739
2019-02-11,3160BA,2
2020-03-12,1956CA,2
2020-02-26,3250CA,500
2019-12-18,3250CA,100
2019-10-03,2555CA,6
2019-11-24,2923CA,1
2020-01-15,3404CA,5
2020-01-21,1876AA,1
2019-06-27,1464AA,6
2019-12-05,2508BA,2
2019-07-20,3576BA,3
2019-04-30,2170BA,4
2019-12-15,1163CA,20
2019-06-05,2621AA,10
2019-06-27,1083AA,4700
2019-03-31,1992AA,595
2019-12-06,1163CA,70
2020-05-08,1193BA,16
2019-11-19,1382CA,7
2019-10-06,1161AA,453
2019-02-20,2212AA,5
2019-07-21,2953CA,2
2020-05-23,3075AA,1
2019-02-15,2060AA,2
2020-03-23,3610AA,8
2020-05-23,3494AA,30
2020-03-17,2342CA,100
2020-01-17,2501CA,578
2019-05-02,2044CA,4
2020-03-30,1601AA,5
2020-01-10,1953AA,1
2019-02-05,2227AA,7
2019-10-17,1445BA,2
2019-05-05,2060AA,2
2020-04-22,1964BA,225
2020-04-26,2025AA,5
2020-06-02,2501CA,1159
2020-04-09,3576BA,3
2020-04-27,1741BA,3
2019-05-16,3193AA,5
2019-04-30,2039CA,4
2020-05-15,1145BA,80
2019-04-16,1970CA,55
2020-04-08,2293AA,4568
2019-03-12,3551CA,200
2019-04-25,2953CA,2
2020-01-17,3025CA,1
2019-10-13,2803BA,8
2020-04-05,2331CA,60
2019-06-25,3407CA,5
2019-11-11,2953CA,1
2019-10-05,2277AA,59
2020-01-01,3177CA,56.25
2019-04-13,2060AA,1
2019-01-30,3551CA,105
2019-08-11,3533CA,4200
2019-03-23,1956CA,1
2019-08-11,2513CA,4
2020-03-15,3407CA,5
2019-12-30,2501CA,316
2020-04-28,2044CA,4
2019-11-01,1497CA,71
2020-02-15,1624AA,2
2020-05-04,1908AA,1
2019-05-28,2293AA,65
2019-11-13,3407CA,3
2019-05-12,2606AA,2
2019-02-18,2501CA,65
2019-03-31,3512AA,2400
2019-07-29,1145BA,120
2019-06-03,2621AA,6
2020-03-25,2173CA,3
2020-03-16,3579CA,6
2019-03-03,1479CA,20
2019-11-26,2876CA,227
2019-03-16,1464AA,1
2019-06-05,3420AA,8
2019-05-10,3143CA,6
2019-11-18,3448CA,12
2020-03-14,2501CA,945
2020-06-06,1967BA,10
2019-12-13,2680BA,4
2019-03-03,2173CA,11
2019-06-07,3365CA,5
2019-04-22,2025AA,22
2020-05-18,2484BA,74
2019-12-14,2953BA,40
2019-03-01,1964BA,155
2019-08-14,2564BA,12
2019-05-05,1130AA,1400
2019-07-31,1317CA,1
2019-07-20,3075AA,1
2019-05-29,2501CA,200
2020-01-09,2021CA,10
2020-02-16,1956AA,1
2019-06-03,2935BA,9
2019-09-22,2953BA,66
2020-06-01,3533CA,1000
2019-06-12,2498BA,1
2019-03-17,2938CA,3
2019-10-11,2212AA,4
2020-01-01,2212CA,3
2019-01-31,2953CA,1
2020-02-13,2814BA,288
2019-04-02,3079BA,24
2020-04-03,2498BA,2
2019-04-03,1479CA,10
2019-06-14,3358BA,2
2020-03-13,2396CA,50
2020-05-30,3502BA,150
2019-08-11,3138CA,6
2019-12-07,2326CA,87
2019-06-07,1956CA,1
2019-08-28,1479CA,5
2019-12-07,1584BA,1
2020-05-10,2013AA,240
2019-04-13,3551CA,400
2020-02-18,3502BA,1
2019-08-04,3420AA,1
2019-09-01,1956CA,2
2019-06-27,3358BA,1
2020-05-10,1993AA,240
2019-10-30,2170BA,2
2019-09-28,3250CA,100
2020-05-01,1624AA,5
2019-03-21,2508BA,1
2019-04-29,2315BA,4
2019-08-21,3404CA,12
2019-10-17,2189CA,3
2020-04-23,2173CA,1
2020-01-29,3551CA,30
2019-08-27,1009AA,55
2019-07-22,2025AA,3
2019-12-03,2938CA,1
2019-03-12,1385CA,7
2019-05-06,3138CA,4
2019-05-28,1077CA,3017
2019-04-28,2039CA,2
2019-12-15,1382CA,8
2020-02-04,1486CA,1
2019-12-29,3404CA,1
2020-04-23,2752AA,46
2019-04-14,1255CA,1
2019-06-06,3619CA,3800
2019-09-30,2212AA,11
2020-01-12,3358BA,2
2019-06-04,3551CA,750
2019-06-13,3619CA,4000
2020-06-08,1971AA,65
2019-07-05,3365CA,4
2019-03-10,3413AA,3
2019-07-09,2970CA,1
2019-10-18,2501CA,25
2020-03-28,2923CA,14
2019-12-10,1907AA,1
2020-04-25,1979AA,60
2020-03-05,2953BA,60
2019-10-24,2013AA,120
2020-01-07,3079BA,3
2019-11-07,2501CA,17
2019-12-05,1624AA,2
2019-12-29,2013AA,21
2019-02-28,2291AA,422
2019-02-20,1499CA,2
2019-02-14,1479CA,5
2020-05-09,3132BA,1
2019-07-17,2953BA,60
2019-11-20,2767AA,8
2019-05-31,2317CA,341
2019-08-26,3551CA,100
2020-02-28,2418CA,16
2019-11-04,3407CA,2
2020-05-30,3404CA,2
2020-03-17,1499CA,2
2020-01-16,3420AA,2
2019-07-31,3420AA,2
2019-08-02,2044CA,3
2020-01-03,2317CA,200
2020-01-31,2953CA,1
2019-06-16,3420AA,2
2019-09-09,1695CA,2
2020-01-06,1163CA,8
2020-01-09,2229AA,4
2020-04-11,3084CA,1
2020-05-31,3160BA,5
2020-05-24,3551CA,100
2020-01-04,1130AA,179
2019-07-12,3461CA,5
2020-03-23,2564BA,110
2019-07-26,2714CA,2268
2019-07-31,3125AA,1
2019-11-01,3551CA,1100
2019-07-13,3556AA,12
2020-05-09,2923CA,7
2020-05-26,3590BA,4
2020-05-20,2053BA,3
2019-05-05,2277AA,1384
2019-11-30,2212AA,3
2019-05-30,1956CA,2
2019-05-19,2803BA,666
2019-08-26,2170BA,11
2020-05-26,2315BA,144
2019-04-14,2096BA,11
2019-04-02,1486CA,20
2019-08-31,1497CA,26
2019-11-01,2013AA,102
2020-04-05,2170BA,5
2020-01-30,2331CA,65
2019-05-22,2938CA,3
2019-12-04,2170BA,11
2019-02-26,3576BA,10
2019-12-24,1695CA,1
2020-05-06,1445BA,2
2020-05-22,3053AA,32
2020-06-13,3590BA,6
2019-10-01,2988AA,1
2019-11-24,3461CA,4
2020-06-03,3576BA,6
2019-11-18,3551CA,105
2019-12-27,2317CA,750
2020-03-16,2930CA,1
2020-01-18,3075AA,1
2019-09-17,1145BA,12
2019-07-28,3590BA,8
2019-10-20,2331CA,450
2020-02-26,3160BA,5
2019-04-15,1695CA,1
2019-05-08,1464AA,2
2019-02-23,1995AA,1.5
2019-03-30,2293AA,100
2019-10-04,2326CA,83
2019-09-16,3161BA,6
2020-01-07,1499AA,143
2019-12-22,1445BA,1
2019-06-26,2714CA,2
2019-01-30,3079BA,151
2019-04-13,2189CA,12
2019-10-29,1945AA,1
2020-04-09,1921AA,2
2020-01-28,2604CA,16
2020-05-09,3025CA,1
2019-04-19,2173CA,5
2020-01-26,2953CA,1
2019-11-08,2291AA,14
2020-02-23,2513CA,1
2020-06-05,1479CA,1
2019-03-09,3075AA,2
2020-03-09,2044CA,12
2020-03-25,2953BA,62
2019-11-30,3413AA,5
2019-12-30,3084CA,1
2019-02-02,2229AA,3
2019-08-19,3494AA,60
2019-05-02,3494AA,30
2019-07-07,3404CA,10
2019-07-13,2021CA,5
2019-05-11,2054CA,2
2020-03-04,2953BA,60
2020-04-17,1161AA,39
2019-07-24,2956AA,4
2020-05-28,1907AA,1
2020-06-04,2013AA,7.5
2019-11-14,1624CA,2
2019-05-15,1193BA,394
2020-02-13,1009AA,51
2019-08-04,2220BA,3
2019-07-13,1479CA,3
2019-06-18,2970CA,3
2020-03-14,2189CA,5
2020-05-16,3084CA,1
2019-06-06,2060AA,4
2020-04-29,1116CA,1000
2019-10-31,1695CA,1
2019-04-11,1317CA,1
2019-02-25,2234AA,1
2020-04-29,2060AA,4
2019-12-06,3025CA,10
2019-04-12,2662CA,10
2020-05-02,1630BA,10
2020-03-08,1161AA,224
2019-11-23,1584BA,1
2019-10-18,2498CA,1
2019-12-24,2956AA,11
2020-03-28,2935BA,15
2020-04-28,1265CA,1
2019-12-16,3084CA,1
2019-05-13,1130AA,53
2020-04-07,2515BA,37
2020-01-26,2265BA,5
2019-12-17,3494AA,60
2019-07-17,2564BA,70
2020-03-16,3423CA,1
2019-02-25,2173CA,4
2019-02-27,1163CA,75
2020-05-22,2265BA,2
2019-02-16,3079BA,18
2019-06-11,3619CA,1846
2019-11-17,3250CA,210
2019-10-18,2498BA,1
2020-03-21,2956AA,48
2019-05-19,1601AA,1
2019-11-12,3461CA,25
2019-06-30,1994AA,750
2020-03-28,1964BA,35
2019-07-31,2429BA,6953
2019-08-12,2662CA,30
2019-01-31,1990AA,105
2019-07-02,2673BA,400
2020-02-19,2606AA,3
2019-02-05,2673BA,215
2019-11-16,1908AA,1
2019-07-07,1499AA,20
2019-02-16,2867AA,53
2020-06-02,2471CA,700
2020-01-01,2646AA,14
2019-10-27,3358BA,1
2019-03-10,1130AA,360
2020-03-03,1083AA,7410
2019-04-18,3533CA,3100
2019-05-20,1403CA,1
2019-02-24,3462AA,50
2019-12-29,3619CA,8000
2019-10-05,1479CA,6
2020-02-01,3378CA,250
2019-08-21,2513CA,1
2020-03-04,3619CA,7421
2020-02-04,3407CA,1
2019-08-13,2265BA,2
2019-06-06,1971AA,260
2019-04-21,2337CA,25
2019-02-22,1130AA,116
2019-09-18,1379CA,9
2019-08-20,3448CA,20
2020-01-30,3358BA,1
2019-03-25,2170BA,3
2019-08-08,1624CA,4
2020-02-04,1907AA,1
2020-01-03,1130AA,53
2019-02-15,1163CA,63
2019-03-26,1624AA,1
2020-02-14,2803BA,126
2019-11-11,3448CA,30
2019-10-02,2229AA,3
2019-03-27,2714CA,81
2019-05-19,3160BA,10
2020-04-21,3193AA,5
2019-10-06,2265BA,2
2019-08-24,1083AA,219
2020-06-01,2640BA,144
2019-03-20,3250CA,150
2019-05-12,1009AA,450
2019-06-06,1511CA,9
2020-03-10,2501CA,294
2019-11-05,3125AA,1
2019-10-16,1906CA,2
2020-04-23,1379CA,8
2019-04-22,3576BA,2
2020-06-04,1970CA,48
2019-05-13,1009AA,220
2019-12-18,3345AA,60
2019-07-01,2953CA,7
2020-02-02,3053AA,22
2019-11-15,2066AA,3
2019-07-11,3462AA,50
2019-02-22,2867AA,31
2019-09-03,1695CA,1
2019-12-17,1601AA,1
2019-10-09,1445BA,1
2019-07-09,3025CA,1
2019-04-24,3494AA,30
2020-01-14,1193BA,130
2020-04-06,2021CA,30
2020-02-24,3556AA,2
2020-02-10,1479CA,2
2020-05-24,2970CA,1
2019-11-03,1511CA,20
2019-01-30,3250CA,300
2019-10-31,1906CA,1
2020-03-29,3551CA,100
2019-02-08,3619CA,330
2019-10-22,3404CA,10
2019-04-13,1385CA,7
2019-05-07,2277AA,190
2019-11-04,3160BA,10
2019-08-06,2766AA,500
2020-04-12,3512AA,3000
2019-03-02,2227AA,200
2019-02-03,1908AA,1
2020-02-09,2234AA,3
2019-10-01,1445BA,1
2020-04-13,3125AA,243
2019-04-01,1163CA,110
2019-12-12,1295CA,1
2020-06-09,1990AA,35
2020-04-20,2236CA,1
2019-12-20,1265CA,1
2020-05-16,3358BA,1
2020-01-12,2013AA,2
2020-06-04,1009AA,1810
2019-04-20,1145BA,17
2020-02-08,3461CA,5
2019-06-10,2025AA,20
2020-02-01,1624CA,1
2020-05-23,1695CA,1
2020-06-06,1479CA,3
2019-07-12,2013AA,135
2019-12-17,1601AA,5
2020-03-07,2501CA,90
2019-06-15,3079BA,12
2019-03-27,1745BA,6
2019-08-12,2229AA,2
2019-09-25,1964BA,12.5
2020-06-06,1970CA,140
2020-01-14,2331CA,128
2019-12-30,3413AA,2
2019-06-21,1193BA,30
2020-05-09,1464AA,1
2020-02-05,2606AA,1
2020-05-18,3399AA,10
2020-05-21,1497CA,70
2019-03-05,2291AA,378
2020-05-10,1126CA,310
2019-03-02,1077CA,7130
2019-10-04,1255CA,1
2019-03-29,1009AA,85
2020-05-06,3404CA,4
